
@relation poke

@attribute nr       numeric
@attribute name     string
@attribute type-1   {Normal,Water,Fire,Grass,Poison,Flying,Fighting,Ground,Rock,Fairy,Steel,Dragon,Bug,Psychic,Ice,Dark,Ghost,Electric}
@attribute type-2   {Normal,Water,Fire,Grass,Poison,Flying,Fighting,Ground,Rock,Fairy,Steel,Dragon,Bug,Psychic,Ice,Dark,Ghost,Electric}
@attribute total    numeric
@attribute hp       numeric
@attribute attack   numeric
@attribute defense  numeric
@attribute sp.atk   numeric
@attribute sp.def   numeric
@attribute speed    numeric
@attribute color    {Red,Blue,Yellow,Green,Black,Brown,Purple,Gray,White,Pink}

@data
417,Pachirisu,Electric,?,405,60,45,70,45,90,95,White
418,Buizel,Water,?,330,55,65,35,60,30,85,Brown
419,Floatzel,Water,?,495,85,105,55,85,50,115,Brown
420,Cherubi,Grass,?,275,45,35,45,62,53,35,Pink
421,Cherrim,Grass,?,450,70,60,70,87,78,85,Pink
422,Shellos,Water,?,325,76,48,48,57,62,34,Purple
423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,Purple
424,Ambipom,Normal,?,482,75,100,66,60,66,115,Purple
425,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,Purple
426,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,Purple
427,Buneary,Normal,?,350,55,66,44,44,56,85,Brown
428,Lopunny,Normal,?,480,65,76,84,54,96,105,Brown
429,Mismagius,Ghost,?,495,60,60,60,105,105,105,Purple
430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,Black
431,Glameow,Normal,?,310,49,55,42,42,37,85,Gray
432,Purugly,Normal,?,452,71,82,64,64,59,112,Gray
433,Chingling,Psychic,?,285,45,30,50,65,50,45,Yellow
434,Stunky,Poison,Dark,329,63,63,47,41,41,74,Purple
435,Skuntank,Poison,Dark,479,103,93,67,71,61,84,Purple
436,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,Green
437,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,Green
438,Bonsly,Rock,?,290,50,80,95,10,45,10,Brown
439,MimeJr.,Psychic,Fairy,310,20,25,45,70,90,60,Pink
440,Happiny,Normal,?,220,100,5,5,15,65,30,Pink
441,Chatot,Normal,Flying,411,76,65,45,92,42,91,Black
442,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,Purple
443,Gible,Dragon,Ground,300,58,70,45,40,45,42,Blue
444,Gabite,Dragon,Ground,410,68,90,65,50,55,82,Blue
445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,Blue
446,Munchlax,Normal,?,390,135,85,40,40,85,5,Black
447,Riolu,Fighting,?,285,40,70,40,35,40,60,Blue
448,Lucario,Fighting,Steel,525,70,110,70,115,70,90,Blue
449,Hippopotas,Ground,?,330,68,72,78,38,42,32,Brown
450,Hippowdon,Ground,?,525,108,112,118,68,72,47,Brown
451,Skorupi,Poison,Bug,330,40,50,90,30,55,65,Purple
452,Drapion,Poison,Dark,500,70,90,110,60,75,95,Purple
453,Croagunk,Poison,Fighting,300,48,61,40,61,40,50,Blue
454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,Blue
455,Carnivine,Grass,?,454,74,100,72,90,72,46,Green
456,Finneon,Water,?,330,49,49,56,49,61,66,Blue
457,Lumineon,Water,?,460,69,69,76,69,86,91,Blue
458,Mantyke,Water,Flying,345,45,20,50,60,120,50,Blue
459,Snover,Grass,Ice,334,60,62,50,62,60,40,White
460,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,White
461,Weavile,Dark,Ice,510,70,120,65,45,85,125,Black
462,Magnezone,Electric,Steel,535,70,70,115,130,90,60,Gray
463,Lickilicky,Normal,?,515,110,85,95,80,95,50,Pink
464,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,Gray
465,Tangrowth,Grass,?,535,100,100,125,110,50,50,Blue
466,Electivire,Electric,?,540,75,123,67,95,85,95,Yellow
467,Magmortar,Fire,?,540,75,95,67,125,95,83,Red
468,Togekiss,Fairy,Flying,545,85,50,95,120,115,80,White
469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,Green
470,Leafeon,Grass,?,525,65,110,130,60,65,95,Green
471,Glaceon,Ice,?,525,65,60,110,130,95,65,Blue
472,Gliscor,Ground,Flying,510,75,95,125,45,75,95,Purple
473,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,Brown
474,Porygon-Z,Normal,?,535,85,80,70,135,75,90,Red
475,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,White
476,Probopass,Rock,Steel,525,60,55,145,75,150,40,Gray
477,Dusknoir,Ghost,?,525,45,100,135,65,135,45,Black
478,Froslass,Ice,Ghost,480,70,80,70,80,70,110,White
479,Rotom,Electric,Ghost,440,50,50,77,95,77,91,Red
480,Uxie,Psychic,?,580,75,75,130,75,130,95,Yellow
481,Mesprit,Psychic,?,580,80,105,105,105,105,80,Pink
482,Azelf,Psychic,?,580,75,125,70,125,70,115,Blue
483,Dialga,Steel,Dragon,680,100,120,120,150,100,90,White
484,Palkia,Water,Dragon,680,90,120,100,150,120,100,Purple
485,Heatran,Fire,Steel,600,91,90,106,130,106,77,Brown
486,Regigigas,Normal,?,670,110,160,110,80,110,100,White
488,Cresselia,Psychic,?,600,120,70,120,75,130,85,Yellow
489,Phione,Water,?,480,80,80,80,80,80,80,Blue
490,Manaphy,Water,?,600,100,100,100,100,100,100,Blue
491,Darkrai,Dark,?,600,70,90,90,135,90,125,Black
493,Arceus,Normal,?,720,120,120,120,120,120,120,Gray
494,Victini,Psychic,Fire,600,100,100,100,100,100,100,Yellow
495,Snivy,Grass,?,308,45,45,55,45,55,63,Green
496,Servine,Grass,?,413,60,60,75,60,75,83,Green
497,Serperior,Grass,?,528,75,75,95,75,95,113,Green
498,Tepig,Fire,?,308,65,63,45,45,45,45,Red
499,Pignite,Fire,Fighting,418,90,93,55,70,55,55,Red
500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,Red
501,Oshawott,Water,?,308,55,55,45,63,45,45,Blue
502,Dewott,Water,?,413,75,75,60,83,60,60,Blue
503,Samurott,Water,?,528,95,100,85,108,70,70,Blue
504,Patrat,Normal,?,255,45,55,39,35,39,42,Brown
505,Watchog,Normal,?,420,60,85,69,60,69,77,Brown
506,Lillipup,Normal,?,275,45,60,45,25,45,55,Brown
507,Herdier,Normal,?,370,65,80,65,35,65,60,Gray
508,Stoutland,Normal,?,500,85,110,90,45,90,80,Gray
509,Purrloin,Dark,?,281,41,50,37,50,37,66,Purple
510,Liepard,Dark,?,446,64,88,50,88,50,106,Purple
511,Pansage,Grass,?,316,50,53,48,53,48,64,Green
512,Simisage,Grass,?,498,75,98,63,98,63,101,Green
513,Pansear,Fire,?,316,50,53,48,53,48,64,Red
514,Simisear,Fire,?,498,75,98,63,98,63,101,Red
515,Panpour,Water,?,316,50,53,48,53,48,64,Blue
516,Simipour,Water,?,498,75,98,63,98,63,101,Blue
517,Munna,Psychic,?,292,76,25,45,67,55,24,Pink
518,Musharna,Psychic,?,487,116,55,85,107,95,29,Pink
519,Pidove,Normal,Flying,264,50,55,50,36,30,43,Gray
520,Tranquill,Normal,Flying,358,62,77,62,50,42,65,Gray
521,Unfezant,Normal,Flying,488,80,115,80,65,55,93,Gray
522,Blitzle,Electric,?,295,45,60,32,50,32,76,Black
523,Zebstrika,Electric,?,497,75,100,63,80,63,116,Black
524,Roggenrola,Rock,?,280,55,75,85,25,25,15,Blue
525,Boldore,Rock,?,390,70,105,105,50,40,20,Blue
526,Gigalith,Rock,?,515,85,135,130,60,80,25,Blue
527,Woobat,Psychic,Flying,313,55,45,43,55,43,72,Blue
528,Swoobat,Psychic,Flying,425,67,57,55,77,55,114,Blue
529,Drilbur,Ground,?,328,60,85,40,30,45,68,Gray
530,Excadrill,Ground,Steel,508,110,135,60,50,65,88,Gray
531,Audino,Normal,?,445,103,60,86,60,86,50,Pink
532,Timburr,Fighting,?,305,75,80,55,25,35,35,Gray
533,Gurdurr,Fighting,?,405,85,105,85,40,50,40,Gray
534,Conkeldurr,Fighting,?,505,105,140,95,55,65,45,Brown
535,Tympole,Water,?,294,50,50,40,50,40,64,Blue
536,Palpitoad,Water,Ground,384,75,65,55,65,55,69,Blue
537,Seismitoad,Water,Ground,509,105,95,75,85,75,74,Blue
538,Throh,Fighting,?,465,120,100,85,30,85,45,Red
539,Sawk,Fighting,?,465,75,125,75,30,75,85,Blue
540,Sewaddle,Bug,Grass,310,45,53,70,40,60,42,Yellow
541,Swadloon,Bug,Grass,380,55,63,90,50,80,42,Green
542,Leavanny,Bug,Grass,500,75,103,80,70,80,92,Yellow
543,Venipede,Bug,Poison,260,30,45,59,30,39,57,Red
544,Whirlipede,Bug,Poison,360,40,55,99,40,79,47,Gray
545,Scolipede,Bug,Poison,485,60,100,89,55,69,112,Red
546,Cottonee,Grass,Fairy,280,40,27,60,37,50,66,Green
547,Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,Green
548,Petilil,Grass,?,280,45,35,50,70,50,30,Green
549,Lilligant,Grass,?,480,70,60,75,110,75,90,Green
550,Basculin,Water,?,460,70,92,65,80,55,98,Green
551,Sandile,Ground,Dark,292,50,72,35,35,35,65,Brown
552,Krokorok,Ground,Dark,351,60,82,45,45,45,74,Brown
553,Krookodile,Ground,Dark,519,95,117,80,65,70,92,Red
554,Darumaka,Fire,?,315,70,90,45,15,45,50,Red
556,Maractus,Grass,?,461,75,86,67,106,67,60,Green
557,Dwebble,Bug,Rock,325,50,65,85,35,35,55,Red
558,Crustle,Bug,Rock,475,70,95,125,65,75,45,Red
559,Scraggy,Dark,Fighting,348,50,75,70,35,70,48,Yellow
560,Scrafty,Dark,Fighting,488,65,90,115,45,115,58,Red
561,Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,Black
562,Yamask,Ghost,?,303,38,30,85,55,65,30,Black
563,Cofagrigus,Ghost,?,483,58,50,145,95,105,30,Yellow
564,Tirtouga,Water,Rock,355,54,78,103,53,45,22,Blue
565,Carracosta,Water,Rock,495,74,108,133,83,65,32,Blue
566,Archen,Rock,Flying,401,55,112,45,74,45,70,Yellow
567,Archeops,Rock,Flying,567,75,140,65,112,65,110,Yellow
568,Trubbish,Poison,?,329,50,50,62,40,62,65,Green
569,Garbodor,Poison,?,474,80,95,82,60,82,75,Green
570,Zorua,Dark,?,330,40,65,40,80,40,65,Gray
571,Zoroark,Dark,?,510,60,105,60,120,60,105,Gray
572,Minccino,Normal,?,300,55,50,40,40,40,75,Gray
573,Cinccino,Normal,?,470,75,95,60,65,60,115,Gray
574,Gothita,Psychic,?,290,45,30,50,55,65,45,Purple
575,Gothorita,Psychic,?,390,60,45,70,75,85,55,Purple
576,Gothitelle,Psychic,?,490,70,55,95,95,110,65,Purple
577,Solosis,Psychic,?,290,45,30,40,105,50,20,Green
578,Duosion,Psychic,?,370,65,40,50,125,60,30,Green
579,Reuniclus,Psychic,?,490,110,65,75,125,85,30,Green
580,Ducklett,Water,Flying,305,62,44,50,44,50,55,Blue
581,Swanna,Water,Flying,473,75,87,63,87,63,98,White
582,Vanillite,Ice,?,305,36,50,50,65,60,44,White
583,Vanillish,Ice,?,395,51,65,65,80,75,59,White
584,Vanilluxe,Ice,?,535,71,95,85,110,95,79,White
585,Deerling,Normal,Grass,335,60,60,50,40,50,75,Yellow
586,Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,Brown
587,Emolga,Electric,Flying,428,55,75,60,75,60,103,White
588,Karrablast,Bug,?,315,50,75,45,40,45,60,Blue
589,Escavalier,Bug,Steel,495,70,135,105,60,105,20,Gray
590,Foongus,Grass,Poison,294,69,55,45,55,55,15,White
591,Amoonguss,Grass,Poison,464,114,85,70,85,80,30,White
592,Frillish,Water,Ghost,335,55,40,50,65,85,40,White
593,Jellicent,Water,Ghost,480,100,60,70,85,105,60,White
594,Alomomola,Water,?,470,165,75,80,40,45,65,Pink
595,Joltik,Bug,Electric,319,50,47,50,57,50,65,Yellow
596,Galvantula,Bug,Electric,472,70,77,60,97,60,108,Yellow
597,Ferroseed,Grass,Steel,305,44,50,91,24,86,10,Gray
598,Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,Gray
599,Klink,Steel,?,300,40,55,70,45,60,30,Gray
600,Klang,Steel,?,440,60,80,95,70,85,50,Gray
601,Klinklang,Steel,?,520,60,100,115,70,85,90,Gray
602,Tynamo,Electric,?,275,35,55,40,45,40,60,White
603,Eelektrik,Electric,?,405,65,85,70,75,70,40,Blue
604,Eelektross,Electric,?,515,85,115,80,105,80,50,Blue
605,Elgyem,Psychic,?,335,55,55,55,85,55,30,Blue
606,Beheeyem,Psychic,?,485,75,75,75,125,95,40,Brown
607,Litwick,Ghost,Fire,275,50,30,55,65,55,20,White
608,Lampent,Ghost,Fire,370,60,40,60,95,60,55,Black
609,Chandelure,Ghost,Fire,520,60,55,90,145,90,80,Black
610,Axew,Dragon,?,320,46,87,60,30,40,57,Green
611,Fraxure,Dragon,?,410,66,117,70,40,50,67,Green
612,Haxorus,Dragon,?,540,76,147,90,60,70,97,Yellow
613,Cubchoo,Ice,?,305,55,70,40,60,40,40,White
614,Beartic,Ice,?,485,95,110,80,70,80,50,White
615,Cryogonal,Ice,?,485,70,50,30,95,135,105,Blue
616,Shelmet,Bug,?,305,50,40,85,40,65,25,Red
617,Accelgor,Bug,?,495,80,70,40,100,60,145,Red
618,Stunfisk,Ground,Electric,471,109,66,84,81,99,32,Brown
619,Mienfoo,Fighting,?,350,45,85,50,55,50,65,Yellow
620,Mienshao,Fighting,?,510,65,125,60,95,60,105,Purple
621,Druddigon,Dragon,?,485,77,120,90,60,90,48,Red
622,Golett,Ground,Ghost,303,59,74,50,35,50,35,Green
623,Golurk,Ground,Ghost,483,89,124,80,55,80,55,Green
624,Pawniard,Dark,Steel,340,45,85,70,40,40,60,Red
625,Bisharp,Dark,Steel,490,65,125,100,60,70,70,Red
626,Bouffalant,Normal,?,490,95,110,95,40,95,55,Brown
627,Rufflet,Normal,Flying,350,70,83,50,37,50,60,White
628,Braviary,Normal,Flying,510,100,123,75,57,75,80,Red
629,Vullaby,Dark,Flying,370,70,55,75,45,65,60,Brown
630,Mandibuzz,Dark,Flying,510,110,65,105,55,95,80,Brown
631,Heatmor,Fire,?,484,85,97,66,105,66,65,Red
632,Durant,Bug,Steel,484,58,109,112,48,48,109,Gray
633,Deino,Dark,Dragon,300,52,65,50,45,50,38,Blue
634,Zweilous,Dark,Dragon,420,72,85,70,65,70,58,Blue
635,Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,Blue
636,Larvesta,Bug,Fire,360,55,85,55,50,55,60,White
